frame_count,id,x,y,color
25,8,308,371,red
25,10,609,277,blue
25,6,662,335,red
25,5,916,293,blue
25,7,440,237,red
25,13,1013,338,blue
25,12,303,300,red
25,3,1185,307,blue
25,14,1068,226,blue
25,16,163,234,red
25,15,772,217,blue
25,41,558,188,red
26,4,736,495,red
26,10,609,277,blue
26,5,917,292,blue
26,8,312,372,red
26,11,802,407,blue
26,2,942,510,blue
26,6,675,334,red
26,13,1018,337,blue
26,16,167,233,red
26,3,1194,307,blue
26,12,309,299,red
26,7,445,237,red
26,41,564,188,red
26,14,1075,226,blue
26,15,779,217,blue
27,4,753,497,red
27,2,949,513,blue
27,11,804,403,blue
27,8,317,373,red
27,5,915,292,blue
27,10,606,277,blue
27,6,686,334,red
27,16,172,233,red
27,13,1025,339,blue
27,7,450,238,red
27,3,1203,309,blue
27,12,315,300,red
27,41,571,189,red
27,14,1084,226,blue
27,15,786,217,blue
28,8,321,374,red
28,6,697,334,red
28,4,773,499,red
28,2,957,513,blue
28,10,598,277,blue
28,11,797,405,blue
28,5,914,292,blue
28,7,456,238,red
28,13,1030,340,blue
28,12,320,301,red
28,3,1212,310,blue
28,16,176,234,red
28,14,1093,226,blue
28,41,579,189,red
28,15,792,216,blue
29,4,795,500,red
29,2,967,514,blue
29,11,798,407,blue
29,5,916,289,blue
29,10,595,276,blue
29,8,324,374,red
29,6,708,334,red
29,13,1035,342,blue
29,7,461,237,red
29,3,1222,310,blue
29,14,1101,227,blue
29,12,326,301,red
29,16,182,235,red
29,41,587,188,red
30,11,800,407,blue
30,2,978,518,blue
30,8,327,375,red
30,4,811,498,red
30,6,718,335,red
30,10,595,278,blue
30,5,917,290,blue
30,13,1041,341,blue
30,16,188,233,red
30,3,1231,310,blue
30,12,333,301,red
30,14,1109,227,blue
30,7,467,238,red
30,15,808,217,blue
31,4,832,501,red
31,11,801,402,blue
31,2,988,519,blue
31,6,733,335,red
31,8,332,375,red
31,10,590,279,blue
31,5,916,291,blue
31,13,1045,343,blue
31,12,342,301,red
31,7,474,237,red
31,3,1241,311,blue
31,15,815,214,blue
31,14,1118,227,blue
31,16,193,233,red
32,4,854,503,red
32,2,997,521,blue
32,6,748,336,red
32,8,336,377,red
32,11,796,403,blue
32,13,1050,342,blue
32,5,913,292,blue
32,10,582,281,blue
32,12,350,302,red
32,7,481,237,red
32,14,1127,228,blue
32,3,1253,312,blue
32,15,823,216,blue
32,16,198,234,red
32,56,197,223,red
33,11,792,404,blue
33,8,341,379,red
33,4,884,504,red
33,2,1013,523,blue
33,10,580,280,blue
33,6,761,336,red
33,5,915,291,blue
33,13,1056,345,blue
33,7,488,237,red
33,12,352,304,red
33,14,1137,228,blue
33,3,1263,313,blue
33,15,830,214,blue
33,56,202,214,red
33,16,203,231,red
34,8,345,380,red
34,11,791,402,blue
34,4,906,499,red
34,6,774,333,red
34,2,1034,524,blue
34,10,578,280,blue
34,5,916,292,blue
34,13,1060,347,blue
34,7,495,239,red
34,3,1269,315,blue
34,14,1146,228,blue
34,12,358,309,red
34,56,208,222,red
34,15,837,215,blue
34,16,208,230,red
35,4,927,501,red
35,8,350,381,red
35,11,786,404,blue
35,6,788,336,red
35,2,1050,528,blue
35,13,1066,348,blue
35,12,366,302,red
35,10,569,284,blue
35,7,504,239,red
35,16,213,228,red
35,14,1155,229,blue
35,15,844,213,blue
35,54,747,258,blue
36,4,951,504,red
36,11,771,405,blue
36,8,355,381,red
36,2,1066,530,blue
36,6,805,338,red
36,13,1073,348,blue
36,10,563,284,blue
36,14,1163,229,blue
36,12,374,303,red
36,16,219,226,red
36,7,512,239,red
36,15,851,214,blue
36,62,910,293,blue
37,4,982,504,red
37,8,361,381,red
37,6,823,337,red
37,11,772,403,blue
37,10,563,285,blue
37,2,1081,535,blue
37,7,522,238,red
37,13,1075,349,blue
37,12,383,302,red
37,16,226,224,red
37,14,1171,228,blue
37,5,912,293,blue
37,15,859,212,blue
38,6,838,336,red
38,8,368,381,red
38,2,1095,541,blue
38,4,1008,505,red
38,13,1077,348,blue
38,11,769,398,blue
38,10,561,289,blue
38,12,392,301,red
38,54,784,258,blue
38,16,233,222,red
38,7,532,237,red
38,14,1179,226,blue
38,15,866,208,blue
39,4,1030,504,red
39,8,369,381,red
39,6,854,336,red
39,2,1109,544,blue
39,13,1081,349,blue
39,11,752,397,blue
39,54,797,257,blue
39,7,543,237,red
39,16,241,220,red
39,12,403,300,red
39,10,556,288,blue
39,14,1189,228,blue
39,15,876,208,blue
39,5,915,295,blue
40,4,1057,505,red
40,11,748,395,blue
40,8,369,379,red
40,2,1123,545,blue
40,6,870,335,red
40,13,1088,348,blue
40,10,554,287,blue
40,12,414,299,red
40,7,555,235,red
40,54,811,257,blue
40,14,1197,227,blue
40,16,250,218,red
40,15,884,206,blue
40,5,916,292,blue
41,8,369,381,red
41,11,744,392,blue
41,13,1096,349,blue
41,4,1090,508,red
41,2,1136,547,blue
41,10,556,288,blue
41,6,891,335,red
41,12,426,298,red
41,7,569,236,red
41,54,826,257,blue
41,14,1208,228,blue
41,16,260,216,red
41,15,895,208,blue
42,8,375,379,red
42,11,738,394,blue
42,13,1102,350,blue
42,7,582,237,red
42,12,441,297,red
42,4,1125,505,red
42,2,1148,550,blue
42,10,559,291,blue
42,5,920,290,blue
42,6,914,335,red
42,54,843,259,blue
42,16,269,214,red
42,14,1220,226,blue
42,15,904,203,blue
43,2,1155,558,blue
43,13,1112,350,blue
43,11,729,394,blue
43,6,932,335,red
43,8,381,375,red
43,10,557,288,blue
43,12,458,295,red
43,7,598,237,red
43,16,281,213,red
43,54,860,261,blue
43,5,919,294,blue
43,15,918,206,blue
43,14,1233,218,blue
44,8,387,375,red
44,11,730,396,blue
44,13,1124,351,blue
